,"v_1","v_2","v_3","v_4","v_5","v_6","v_7","v_8","v_9","class_id"
and,-0.5998655980554012,-0.7759891973831121,1.169754736638962,-0.772826528168772,0.7156521329741893,0.21025708784631048,-0.611478033873635,-1.4529130586962897,0.3460370792220926,1
had,-0.6991938607880789,-0.6946228648911119,0.12972037787514187,-0.6739333878511627,0.7210258637655798,-0.130498710045367,-1.30958227299042,-0.414836311624001,0.50196988847065,1
long,-0.8830050282036487,-0.9566397822888046,0.1104851020968539,-0.4471946624193759,1.3011784779612763,0.3743987948595769,-0.8793907408675563,-0.6158811554002226,-0.18843255385161553,1
to,-0.7735194063258328,-0.4736198714648846,0.34514072471393054,-0.8714137827541731,0.8450754845906695,-0.45378461908639844,-1.085546106222893,-0.5440820510909418,0.4541082982143653,1
house,-1.2387748025963286,-1.112532525086751,0.6250710944787605,-0.5558845555065909,0.6405541652112648,0.5788126321171225,-0.7488105275449009,-0.7227613879094148,-0.2706983730352252,1
splendid,-0.6299047289723245,-1.2790710494032091,-0.09044530963185754,-0.4622781677393295,0.9432081020277424,-0.23013552469443233,-1.0885563215090794,-0.7104580837217094,-0.03291255378807152,1
could,-0.7735998004176424,-0.8426317721748483,1.0960969920946544,-0.44840022983249594,1.0754359966787523,-0.40292343880059434,-1.4587719345549937,-0.7071254547388067,0.20129921243124474,1
wall,-0.8720977195767474,-1.3112950206981597,0.4936755730305175,-0.328248865595513,0.8914074625772802,0.040165845193029855,-0.09084297376478373,-1.3053429835952695,-0.02105835609784829,1
belonged,-1.0511200343352105,-1.0210763608442295,0.8337616275147288,-0.5782674780537292,0.09131084503341223,0.3649504219106222,-0.9998432189167303,-1.0424427954924098,-0.3607745702378754,1
an,-1.3028015161005235,-1.1893774484262505,0.43138002620024374,-0.6721522569615632,0.8819876042072115,0.1955365568952509,-0.4612867382637671,-0.8071582358237288,-0.14758562621673527,1
saw,-0.4447017732121087,-0.6245211013878499,0.2873251926934697,-0.9466649900605509,0.5944838049725517,-0.4536144192328765,-1.1776981099475552,-0.591846061123002,0.3233262391818337,1
bed,-0.7143616543364079,-0.19727895237068124,0.6649577325512958,-0.7211835715154841,0.7816134970703118,-0.35389410809770194,-1.2117761706001866,-0.8831558357577862,0.47205710993207484,1
wife,-1.0841120663764525,-1.0130361191372532,0.9119013850826183,-0.7551920906773891,0.9983073803279442,0.09083633984061783,-1.0239540999495134,-1.4175609885625713,-0.06730102514249671,1
replied,-1.0792552452039907,-1.1701948617288704,0.4247569882207684,0.12478696593546809,0.8335327981576319,-0.0840897700321118,-0.2033062774770792,-0.7310868930087476,0.1545226483149688,1
if,-1.1554179390036725,-1.1504621417182066,0.3748626876851456,-0.7953899172593736,0.7460336775828488,0.08984496218947102,-1.071402667810111,-1.2043569569510875,-0.389010291074145,1
